policy,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,Total Damage Other Dike Rings,Total Dike Investment Costs
0,1172218.4135808828,52078988.51647182,9.877447302870002e-05,2149218836.8259497,0.0
1,27813758.101676714,0.0,0.0050548939493702,1837322622.6132226,180752703.22814786
2,16379341.007563993,44398191.70406908,0.0030910497679438,2081295021.7638562,150912320.36847937
3,20880557.418285463,34466266.654637925,0.0056689130997320996,790875250.828704,298287786.99405956
