,epsilon_progress,nfe
0,0,0
1,97,100
2,1076,1193
3,1951,2290
4,2833,3383
5,3784,4480
6,4682,5577
7,5501,6669
8,6255,7760
9,7014,8858
10,7796,9955
11,7864,10055
