,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0.0,10508.113769442069,0.0,2775743676119607.5,903.0144558012225,0.00028203139834248077,6492898601.124657,422.9068083330036,4.445739392419561e-09,1997000563.6115735,40.246916468789564,5.471889602932577e-11,1488170817.2895758,202.908170272132,2.1939135360584471e-10,0.0,2250422.1049807076
1,24689432178565.47,282.45185067369215,1.2370482456748362e-06,2884719006071.857,634.8241895811196,2.7460850330611026e-07,108610412380316.47,237.4348116240911,4.197997079397254e-05,160066258.2679194,424.35657225771433,2.242925728568826e-12,297037824442.6056,2843.340193848175,3.2516516020376434e-08,0.0,97577.87472955787
2,98228974178.32808,881.748512287475,7.240173159499947e-09,125319878354418.98,6094.5951039465235,1.2186317385838782e-05,2811991275237.087,2648.6959653330464,1.214802657108969e-06,693655353.5322903,152.85323464752787,1.451456457559395e-11,64274775913.2597,2396.870581155307,6.8783522201513235e-09,0.0,112470.99769161463
3,4021113003364.648,1390.5155876756512,2.1443867032593455e-08,1009266185550195.8,3834.670037516169,1.1389876297815634e-05,8850465722972603.0,144.98364439969444,0.0003622772080391762,370868360.47189355,147.2120833293729,5.435410748997327e-13,72636734123.90724,628.7905377024474,8.915676508390966e-10,0.0,36500532.98981708
