,epsilon_progress,nfe
0,0,0
1,90,100
2,824,1100
3,1536,2195
4,2200,3290
5,2821,4385
6,3403,5482
7,3898,6581
8,4329,7674
9,4682,8769
10,4916,9868
11,5841,14245
